File,Database_Code
Ferroselite__0020710.cif,amcsd 0020710
Ferroselite__0020711.cif,amcsd 0020711
Ferroselite__0020712.cif,amcsd 0020712
Ferroselite__0020713.cif,amcsd 0020713
Ferroselite__0020714.cif,amcsd 0020714
Ferroselite__0020715.cif,amcsd 0020715
Ferroselite__0020716.cif,amcsd 0020716
Ferroselite__0020717.cif,amcsd 0020717
Ferroselite__0020718.cif,amcsd 0020718
Ferroselite__0020719.cif,amcsd 0020719
Ferroselite__0020720.cif,amcsd 0020720
Ferroselite__0020721.cif,amcsd 0020721
Ferrostalderite__0020619.cif,amcsd 0020619
Fettelite__0004906.cif,amcsd 0004906
Fettelite__0018798.cif,amcsd 0018798
Fischesserite__0005994.cif,amcsd 0005994
Florensovite__0015897.cif,amcsd 0015897
Freboldite__0011564.cif,amcsd 0011564
Freieslebenite__0010582.cif,amcsd 0010582
Freieslebenite__0010760.cif,amcsd 0010760
Frohbergite__0015753.cif,amcsd 0015753
Fukuchilite__0001276.cif,amcsd 0001276
Gabrielite__0006071.cif,amcsd 0006071
Gachingite__0021061.cif,amcsd 0021061
Galena__0000003.cif,amcsd 0000003
Galena__0010042.cif,amcsd 0010042
Galena__0010043.cif,amcsd 0010043
Galena__0010044.cif,amcsd 0010044
Galena__0010045.cif,amcsd 0010045
Galena__0010046.cif,amcsd 0010046
Galena__0011372.cif,amcsd 0011372
Galenobismutite__0006073.cif,amcsd 0006073
Galenobismutite__0006084.cif,amcsd 0006084
Galenobismutite__0006085.cif,amcsd 0006085
Galenobismutite__0006326.cif,amcsd 0006326
Galenobismutite__0009086.cif,amcsd 0009086
Galenobismutite__0009087.cif,amcsd 0009087
Galenobismutite__0009088.cif,amcsd 0009088
Galenobismutite__0009089.cif,amcsd 0009089
Galenobismutite__0009090.cif,amcsd 0009090
Galenobismutite__0009091.cif,amcsd 0009091
Galenobismutite__0009092.cif,amcsd 0009092
Galenobismutite__0009093.cif,amcsd 0009093
Galenobismutite__0009094.cif,amcsd 0009094
Galenobismutite__0009095.cif,amcsd 0009095
Galkhaite__0005182.cif,amcsd 0005182
Gallite__0013004.cif,amcsd 0013004
Gallite__0015449.cif,amcsd 0015449
Garavellite__0014648.cif,amcsd 0014648
Geocronite__0000530.cif,amcsd 0000530
Geocronite__0020595.cif,amcsd 0020595
Germanite__0000959.cif,amcsd 0000959
Gersdorffite__0014008.cif,amcsd 0014008
Gersdorffite__0014444.cif,amcsd 0014444
Getchellite__0003539.cif,amcsd 0003539
Getchellite__0009491.cif,amcsd 0009491
Gillulyite__0001733.cif,amcsd 0001733
Gladite__0005780.cif,amcsd 0005780
Gladite__0005781.cif,amcsd 0005781
Gladite__0006075.cif,amcsd 0006075
Gladite__0006076.cif,amcsd 0006076
Gladite__0006077.cif,amcsd 0006077
Gladite__0006078.cif,amcsd 0006078
Gladite__0009571.cif,amcsd 0009571
Gladite__0014751.cif,amcsd 0014751
Glaucodot__0004616.cif,amcsd 0004616
Godlevskite__0010055.cif,amcsd 0010055
Goldfieldite__0014878.cif,amcsd 0014878
Goldfieldite__0014879.cif,amcsd 0014879
Goldfieldite__0014880.cif,amcsd 0014880
Goldfieldite__0014881.cif,amcsd 0014881
Goldfieldite__0014882.cif,amcsd 0014882
Gratonite__0010673.cif,amcsd 0010673
Grechishchevite__0005919.cif,amcsd 0005919
Greenockite__0011540.cif,amcsd 0011540
Greenockite__0015177.cif,amcsd 0015177
Greenockite__0017955.cif,amcsd 0017955
Greigite__0000127.cif,amcsd 0000127
Grimmite__0020969.cif,amcsd 0020969
Grokhovskyite__0013304.cif,amcsd 0013304
Grokhovskyite__0013305.cif,amcsd 0013305
Grumiplucite__0009710.cif,amcsd 0009710
Guanajuatite__0008969.cif,amcsd 0008969
Guanajuatite__0014181.cif,amcsd 0014181
Gudmundite__0000020.cif,amcsd 0000020
Gudmundite__0000021.cif,amcsd 0000021
Gudmundite__0017944.cif,amcsd 0017944
Guettardite__0019213.cif,amcsd 0019213
Gustavite__0011039.cif,amcsd 0011039
Gustavite__0017602.cif,amcsd 0017602
Gustavite__0018646.cif,amcsd 0018646
Hammarite__0005129.cif,amcsd 0005129
Hanauerite__0021231.cif,amcsd 0021231
Hanauerite__0021232.cif,amcsd 0021232
Hanswilkeite__0016249.cif,amcsd 0016249
Hanswilkeite__0016251.cif,amcsd 0016251
Hanswilkeite__0016581.cif,amcsd 0016581
Hatchite__0010647.cif,amcsd 0010647
Hauchecornite__0005099.cif,amcsd 0005099
Hauerite__0010545.cif,amcsd 0010545
Hauerite__0018103.cif,amcsd 0018103
Hawleyite__0000070.cif,amcsd 0000070
Hawleyite__0000111.cif,amcsd 0000111
Hawleyite__0011517.cif,amcsd 0011517
Hawleyite__0018113.cif,amcsd 0018113
Hawleyite__0018121.cif,amcsd 0018121
Haycockite__0009539.cif,amcsd 0009539
Heazlewoodite__0000575.cif,amcsd 0000575
Heazlewoodite__0009709.cif,amcsd 0009709
Heazlewoodite__0018112.cif,amcsd 0018112
Henryite__0020215.cif,amcsd 0020215
Herzenbergite__0010837.cif,amcsd 0010837
Herzenbergite__0011463.cif,amcsd 0011463
Herzenbergite__0018115.cif,amcsd 0018115
Hessite__0011030.cif,amcsd 0011030
Heteromorphite__0010822.cif,amcsd 0010822
Heteromorphite__0014753.cif,amcsd 0014753
Hutchinsonite__0010621.cif,amcsd 0010621
Hutchinsonite__0011062.cif,amcsd 0011062
Ikunolite__0014412.cif,amcsd 0014412
Imhofite__0010785.cif,amcsd 0010785
Imiterite__0012085.cif,amcsd 0012085
Indite__0015769.cif,amcsd 0015769
Ingodite__0001347.cif,amcsd 0001347
Ishiharaite__0020262.cif,amcsd 0020262
Isocubanite__0010766.cif,amcsd 0010766
Izoklakeite__0001112.cif,amcsd 0001112
Izoklakeite__0018392.cif,amcsd 0018392
Jacutingaite__0019200.cif,amcsd 0019200
Jaipurite__0011562.cif,amcsd 0011562
Jaipurite__0017941.cif,amcsd 0017941
Jalpaite__0012059.cif,amcsd 0012059
Jamesonite__0010581.cif,amcsd 0010581
Jamesonite__0015519.cif,amcsd 0015519
Jamesonite__0018283.cif,amcsd 0018283
Jentschite__0015411.cif,amcsd 0015411
Jolliffeite__0014010.cif,amcsd 0014010
Jordanite__0010762.cif,amcsd 0010762
Jordanite__0020593.cif,amcsd 0020593
Jordanite__0020594.cif,amcsd 0020594
Junoite__0000465.cif,amcsd 0000465
Kalgoorlieite__0020521.cif,amcsd 0020521
Kalgoorlieite__0020522.cif,amcsd 0020522
