File,Database_Code,Category
ClathrateI_all_CollCode172839.cif,ICSD 172839,6c-16i-24k
ClathrateI_all_CollCode172840.cif,ICSD 172840,6c-16i-24k
ClathrateI_all_CollCode172841.cif,ICSD 172841,6c-16i-24k
ClathrateI_all_CollCode172842.cif,ICSD 172842,6c-16i-24k
ClathrateI_all_CollCode172843.cif,ICSD 172843,6c-16i-24k
ClathrateI_all_CollCode173169.cif,ICSD 173169,6c-16i-24k
ClathrateI_all_CollCode173170.cif,ICSD 173170,6c-16i-24k
ClathrateI_all_CollCode17347.cif,ICSD 17347,6c-16i-24k
ClathrateI_all_CollCode184034.cif,ICSD 184034,6c-16i-24k
ClathrateI_all_CollCode184701.cif,ICSD 184701,6c-16i-24k
ClathrateI_all_CollCode184702.cif,ICSD 184702,6c-16i-24k
ClathrateI_all_CollCode184703.cif,ICSD 184703,6c-16i-24k
ClathrateI_all_CollCode184704.cif,ICSD 184704,6c-16i-24k
ClathrateI_all_CollCode184705.cif,ICSD 184705,6c-16i-24k
ClathrateI_all_CollCode184706.cif,ICSD 184706,6c-16i-24k
ClathrateI_all_CollCode184707.cif,ICSD 184707,6c-16i-24k
ClathrateI_all_CollCode186954.cif,ICSD 186954,6c-16i-24k
ClathrateI_all_CollCode189532.cif,ICSD 189532,6c-16i-24k
ClathrateI_all_CollCode189533.cif,ICSD 189533,6c-16i-24k
ClathrateI_all_CollCode189534.cif,ICSD 189534,6c-16i-24k
ClathrateI_all_CollCode189535.cif,ICSD 189535,6c-16i-24k
ClathrateI_all_CollCode189536.cif,ICSD 189536,6c-16i-24k
ClathrateI_all_CollCode189537.cif,ICSD 189537,6c-16i-24k
ClathrateI_all_CollCode189538.cif,ICSD 189538,6c-16i-24k
ClathrateI_all_CollCode189539.cif,ICSD 189539,6c-16i-24k
ClathrateI_all_CollCode189540.cif,ICSD 189540,6c-16i-24k
ClathrateI_all_CollCode189541.cif,ICSD 189541,6c-16i-24k
ClathrateI_all_CollCode189542.cif,ICSD 189542,6c-16i-24k
ClathrateI_all_CollCode189543.cif,ICSD 189543,6c-16i-24k
